code,term,dmd_id,dmd_type,bnf_code
21775811000001105,Amoxicillin 125mg/5ml oral suspension sugar free,21775811000001105,AMP,0501013B0AAASAS
39021911000001105,Amoxicillin 250mg/5ml oral suspension sugar free,39021911000001105,VMP,0501013B0AAATAT
548011000001109,Amoxicillin 250mg/5ml oral suspension sugar free,548011000001109,AMP,0501013B0AAATAT
328211000001104,Amoxicillin 250mg/5ml oral suspension sugar free,328211000001104,AMP,0501013B0AAATAT
730511000001101,Amoxicillin 250mg/5ml oral suspension sugar free,730511000001101,AMP,0501013B0AAATAT
9787311000001108,Amoxicillin 250mg/5ml oral suspension sugar free,9787311000001108,AMP,0501013B0AAATAT
10428411000001101,Amoxicillin 250mg/5ml oral suspension sugar free,10428411000001101,AMP,0501013B0AAATAT
15984911000001104,Amoxicillin 250mg/5ml oral suspension sugar free,15984911000001104,AMP,0501013B0AAATAT
22610011000001109,Amoxicillin 250mg/5ml oral suspension sugar free,22610011000001109,AMP,0501013B0AAATAT
203311000001102,Amoxicillin 250mg/5ml oral suspension sugar free,203311000001102,AMP,0501013B0AAATAT
693411000001108,Amoxicillin 250mg/5ml oral suspension sugar free,693411000001108,AMP,0501013B0AAATAT
37033411000001105,Amoxicillin 250mg/5ml oral suspension sugar free,37033411000001105,AMP,0501013B0AAATAT
38787711000001106,Amoxicillin 250mg/5ml oral suspension sugar free,38787711000001106,AMP,0501013B0AAATAT
35852011000001108,Amoxicillin 250mg/5ml oral suspension sugar free,35852011000001108,AMP,0501013B0AAATAT
17782111000001101,Amoxicillin 250mg/5ml oral suspension sugar free,17782111000001101,AMP,0501013B0AAATAT
35591911000001106,Amoxicillin 250mg/5ml oral suspension sugar free,35591911000001106,AMP,0501013B0AAATAT
88811000001107,Amoxicillin 250mg/5ml oral suspension sugar free,88811000001107,AMP,0501013B0AAATAT
29765211000001109,Amoxicillin 250mg/5ml oral suspension sugar free,29765211000001109,AMP,0501013B0AAATAT
520311000001108,Amoxicillin 250mg/5ml oral suspension sugar free,520311000001108,AMP,0501013B0AAATAT
930911000001103,Amoxicillin 250mg/5ml oral suspension sugar free,930911000001103,AMP,0501013B0AAATAT
21776011000001108,Amoxicillin 250mg/5ml oral suspension sugar free,21776011000001108,AMP,0501013B0AAATAT
38726811000001109,Amoxicillin 1g dispersible tablets sugar free,38726811000001109,VMP,0501013B0AAAUAU
38987311000001101,Amoxicillin 1g dispersible tablets sugar free,38987311000001101,AMP,0501013B0AAAUAU
38953811000001107,Amoxicillin 1g dispersible tablets sugar free,38953811000001107,AMP,0501013B0AAAUAU
38719511000001105,Amoxicillin 1g dispersible tablets sugar free,38719511000001105,AMP,0501013B0AAAUAU
769817000,Amoxicillin 500mg/5ml oral suspension sugar free,769817000,VMP,0501013B0AAAVAV
40346311000001103,Amoxicillin 500mg/5ml oral suspension sugar free,40346311000001103,AMP,0501013B0AAAVAV
39879711000001105,Amoxicillin 500mg/5ml oral suspension sugar free,39879711000001105,AMP,0501013B0AAAVAV
39339111000001109,Amoxicillin 500mg/5ml oral suspension sugar free,39339111000001109,AMP,0501013B0AAAVAV
388611000001105,Amoxil 250mg capsules,388611000001105,AMP,0501013B0BCAAAA
709311000001106,Amoxil 500mg capsules,709311000001106,AMP,0501013B0BCABAB
234411000001104,Amoxil 125mg/5ml syrup sucrose free,234411000001104,AMP,0501013B0BCAEAS
689711000001103,Amoxil 250mg/5ml syrup sucrose free,689711000001103,AMP,0501013B0BCAFAT
389311000001106,Amoxil 125mg/1.25ml paediatric oral suspension,389311000001106,AMP,0501013B0BCAGAI
3243311000001101,Amoxil 3g oral powder sachets sucrose free,3243311000001101,AMP,0501013B0BCAIAH
196111000001109,Almodan 125mg/5ml syrup,196111000001109,AMP,0501013B0BDABAJ
644811000001100,Amix 250 capsules,644811000001100,AMP,0501013B0BFAEAA
121011000001106,Amix 500 capsules,121011000001106,AMP,0501013B0BFAFAB
774011000001100,Amix 125 oral suspension,774011000001100,AMP,0501013B0BFAGAS
252511000001109,Amix 250 oral suspension,252511000001109,AMP,0501013B0BFAIAT
500511000001107,Amoram 250mg capsules,500511000001107,AMP,0501013B0BGAAAA
19211000001104,Amoram 500mg capsules,19211000001104,AMP,0501013B0BGABAB
42011000001106,Amoram 125mg/5ml oral suspension,42011000001106,AMP,0501013B0BGACAS
284811000001105,Amoram 250mg/5ml oral suspension,284811000001105,AMP,0501013B0BGADAT
2011000001104,Galenamox 250mg capsules,2011000001104,AMP,0501013B0BHAAAA
130111000001103,Galenamox 500mg capsules,130111000001103,AMP,0501013B0BHABAB
874611000001105,Galenamox 125mg/5ml oral suspension,874611000001105,AMP,0501013B0BHACAS
190111000001106,Galenamox 250mg/5ml oral suspension,190111000001106,AMP,0501013B0BHADAT
161011000001103,Respillin 250mg capsules,161011000001103,AMP,0501013B0BNACAA
14811000001102,Respillin 500mg capsules,14811000001102,AMP,0501013B0BNADAB
7339611000001107,Amoxident 250 capsules,7339611000001107,AMP,0501013B0BRAAAA
7339811000001106,Amoxident 500 capsules,7339811000001106,AMP,0501013B0BRABAB
323509004,VMP previous to 39732311000001104,323509004,VMP,0501013B0AAAAAA
323510009,VMP previous to 39732411000001106,323510009,VMP,0501013B0AAABAB
323730005,VMP previous to 35901911000001104,323730005,VMP,0501013B0AAASAS
323734001,VMP previous to 35368511000001109,323734001,VMP,0501013B0AAAIAI
323736004,VMP previous to 35902111000001107,323736004,VMP,0501013B0AAAHAH
323740008,VMP previous to 39021911000001105,323740008,VMP,0501013B0AAATAT
35902011000001106,VMP previous to 39021911000001105,35902011000001106,VMP,0501013B0AAATAT
41940811000001105,VMP subsequent to 323732002,41940811000001105,VMP,0501013B0AAAJAJ
41941111000001109,VMP subsequent to 323733007,41941111000001109,VMP,0501013B0AAAKAK
41941311000001106,VMP subsequent to 769817000,41941311000001106,VMP,0501013B0AAAVAV
